,Price,Technique,Min Samples to Split,Leafs
0,20500,Undersample 50-50,5,137
1,26790,Undersample 70-30,5,219
2,54920,SMOTE 50-50,5,1627
3,49190,SMOTE 70-30,5,1283
4,22920,Undersample 50-50,10,119
5,25870,Undersample 70-30,10,201
6,48890,SMOTE 50-50,10,1509
7,44260,SMOTE 70-30,10,1161
8,24040,Undersample 50-50,15,113
9,28570,Undersample 70-30,15,189
10,53480,SMOTE 50-50,15,1445
11,46180,SMOTE 70-30,15,1089
12,23310,Undersample 50-50,20,107
13,26590,Undersample 70-30,20,171
14,54990,SMOTE 50-50,20,1397
15,43690,SMOTE 70-30,20,1051
16,23270,Undersample 50-50,25,99
17,26330,Undersample 70-30,25,167
18,55210,SMOTE 50-50,25,1369
19,45720,SMOTE 70-30,25,1019
20,24290,Undersample 50-50,30,99
21,27890,Undersample 70-30,30,159
22,52160,SMOTE 50-50,30,1343
23,43740,SMOTE 70-30,30,987
24,24430,Undersample 50-50,35,97
25,29870,Undersample 70-30,35,153
26,56260,SMOTE 50-50,35,1333
27,44390,SMOTE 70-30,35,961
28,22900,Undersample 50-50,40,91
29,29340,Undersample 70-30,40,139
30,52250,SMOTE 50-50,40,1305
31,44970,SMOTE 70-30,40,937
32,22570,Undersample 50-50,45,89
33,29700,Undersample 70-30,45,143
34,52290,SMOTE 50-50,45,1281
35,42530,SMOTE 70-30,45,909
36,20750,Undersample 50-50,50,83
37,29700,Undersample 70-30,50,141
38,52430,SMOTE 50-50,50,1259
39,41580,SMOTE 70-30,50,881
40,22250,Undersample 50-50,100,57
41,16200,Undersample 70-30,100,109
42,46920,SMOTE 50-50,100,1143
43,43320,SMOTE 70-30,100,771
44,18750,Undersample 50-50,200,43
45,16930,Undersample 70-30,200,89
46,46090,SMOTE 50-50,200,1003
47,40420,SMOTE 70-30,200,633
48,18750,Undersample 50-50,300,43
49,15790,Undersample 70-30,300,71
50,46140,SMOTE 50-50,300,941
51,43750,SMOTE 70-30,300,547
52,18750,Undersample 50-50,400,43
53,15790,Undersample 70-30,400,59
54,43870,SMOTE 50-50,400,881
55,36400,SMOTE 70-30,400,475
56,18750,Undersample 50-50,500,43
57,15950,Undersample 70-30,500,59
58,44130,SMOTE 50-50,500,831
59,34230,SMOTE 70-30,500,417
60,18750,Undersample 50-50,600,43
61,12430,Undersample 70-30,600,51
62,42280,SMOTE 50-50,600,769
63,31740,SMOTE 70-30,600,403
64,18750,Undersample 50-50,700,41
65,12420,Undersample 70-30,700,51
66,39840,SMOTE 50-50,700,713
67,27530,SMOTE 70-30,700,383
68,18750,Undersample 50-50,800,27
69,12460,Undersample 70-30,800,51
70,39600,SMOTE 50-50,800,631
71,28200,SMOTE 70-30,800,301
72,17780,Undersample 50-50,900,15
73,12590,Undersample 70-30,900,51
74,38170,SMOTE 50-50,900,601
75,27730,SMOTE 70-30,900,287
76,19730,Undersample 50-50,1000,5
77,12430,Undersample 70-30,1000,49
78,37650,SMOTE 50-50,1000,583
79,27650,SMOTE 70-30,1000,281
