Max Features,Baseline,Transformed
10,42230.0,12050.0
13,53350.0,12710.0
16,49320.0,14720.0
19,60800.0,15070.0
22,55480.0,14690.0
25,70210.0,18160.0
28,55050.0,13510.0
31,61370.0,10820.0
34,47400.0,11850.0
37,56380.0,13640.0
40,46900.0,14050.0
43,65830.0,12320.0
46,47370.0,11780.0
49,40010.0,12410.0
52,49860.0,11680.0
55,34300.0,12470.0
58,47750.0,11330.0
61,37240.0,10360.0
64,66670.0,11620.0
67,43440.0,11560.0
70,48260.0,12690.0
73,66700.0,11330.0
76,47340.0,12490.0
79,72190.0,12520.0
82,42250.0,12270.0
85,72150.0,11740.0
88,48540.0,12450.0
91,59880.0,10810.0
94,72140.0,10800.0
97,35440.0,10400.0
100,52940.0,12470.0
103,48270.0,11740.0
106,48060.0,10770.0
109,56310.0,12820.0
112,42540.0,11790.0
115,41050.0,11880.0
118,50520.0,10710.0
121,52470.0,12470.0
124,50460.0,10740.0
127,45010.0,11780.0
130,51370.0,11330.0
133,54910.0,10270.0
136,44990.0,10720.0
139,51030.0,10680.0
142,52500.0,10700.0
145,72160.0,11580.0
148,54910.0,12460.0
151,51470.0,10710.0
154,50970.0,10680.0
157,51030.0,10740.0
160,49540.0,10680.0
163,51460.0,10690.0
166,51470.0,12270.0
169,51470.0,10690.0
10,,12050.0
13,,12710.0
16,,14720.0
19,,15070.0
22,,14690.0
25,,18160.0
28,,13510.0
31,,10820.0
34,,11850.0
37,,13640.0
40,,14050.0
43,,12320.0
46,,11780.0
49,,12410.0
52,,11680.0
55,,12470.0
58,,11330.0
61,,10360.0
64,,11620.0
67,,11560.0
70,,12690.0
73,,11330.0
76,,12490.0
79,,12520.0
82,,12270.0
85,,11740.0
88,,12450.0
91,,10810.0
94,,10800.0
97,,10400.0
100,,12470.0
103,,11740.0
106,,10770.0
109,,12820.0
112,,11790.0
115,,11880.0
118,,10710.0
121,,12470.0
124,,10740.0
127,,11780.0
130,,11330.0
133,,10270.0
136,,10720.0
139,,10680.0
142,,10700.0
145,,11580.0
148,,12460.0
151,,10710.0
154,,10680.0
157,,10740.0
160,,10680.0
163,,10690.0
166,,12270.0
169,,10690.0
