Min Samples to Split,Test,Train
5,0.9045385776380601,0.9930139720558881
5,,0.9930139720558881
10,0.9001318990426331,0.9885229540918163
10,,0.9885229540918163
15,0.8940738770570428,0.9791417165668662
15,,0.9791417165668662
20,0.8847695799393834,0.9725548902195609
20,,0.9725548902195609
25,0.8938953534472954,0.9692614770459083
25,,0.9692614770459083
30,0.9044880563627128,0.9668662674650699
30,,0.9668662674650699
35,0.904443425460276,0.9662674650698604
35,,0.9662674650698604
40,0.9111262800799821,0.958882235528942
40,,0.958882235528942
45,0.911215541884856,0.958882235528942
45,,0.958882235528942
50,0.9113048036897295,0.9578842315369261
50,,0.9578842315369261
100,0.9467308656899823,0.9641716566866267
100,,0.9641716566866267
200,0.946864758397293,0.9641716566866267
200,,0.9641716566866267
300,0.9467308656899823,0.9641716566866267
300,,0.9641716566866267
400,0.9492243058535355,0.9635728542914171
400,,0.9635728542914171
500,0.9491350440486618,0.9635728542914171
500,,0.9635728542914171
600,0.9492243058535355,0.9635728542914171
600,,0.9635728542914171
700,0.9492243058535355,0.9635728542914171
700,,0.9635728542914171
800,0.9492243058535355,0.9635728542914171
800,,0.9635728542914171
900,0.9491350440486618,0.9635728542914171
900,,0.9635728542914171
1000,0.9491350440486618,0.9635728542914171
1000,,0.9635728542914171
