k,Baseline,SMOTE 50-50,PCA,Normalization
1,49630.0,31690.0,31690.0,32470.0
7,60830.0,19200.0,19210.0,19210.0
13,68720.0,15890.0,16400.0,16290.0
19,71210.0,14310.0,14310.0,16370.0
25,71670.0,14210.0,14210.0,16490.0
31,74170.0,13460.0,13470.0,15830.0
37,76180.0,13480.0,13480.0,14700.0
43,79190.0,13580.0,13570.0,14990.0
49,81680.0,13200.0,13210.0,15680.0
55,82670.0,13190.0,13190.0,15820.0
61,81640.0,13250.0,13250.0,15940.0
67,83630.0,13710.0,13710.0,16490.0
1,,31690.0,31690.0,32470.0
7,,19200.0,19210.0,19210.0
13,,15890.0,16400.0,16290.0
19,,14310.0,14310.0,16370.0
25,,14210.0,14210.0,16490.0
31,,13460.0,13470.0,15830.0
37,,13480.0,13480.0,14700.0
43,,13580.0,13570.0,14990.0
49,,13200.0,13210.0,15680.0
55,,13190.0,13190.0,15820.0
61,,13250.0,13250.0,15940.0
67,,13710.0,13710.0,16490.0
1,,31690.0,31690.0,32470.0
7,,19200.0,19210.0,19210.0
13,,15890.0,16400.0,16290.0
19,,14310.0,14310.0,16370.0
25,,14210.0,14210.0,16490.0
31,,13460.0,13470.0,15830.0
37,,13480.0,13480.0,14700.0
43,,13580.0,13570.0,14990.0
49,,13200.0,13210.0,15680.0
55,,13190.0,13190.0,15820.0
61,,13250.0,13250.0,15940.0
67,,13710.0,13710.0,16490.0
1,,31690.0,31690.0,32470.0
7,,19200.0,19210.0,19210.0
13,,15890.0,16400.0,16290.0
19,,14310.0,14310.0,16370.0
25,,14210.0,14210.0,16490.0
31,,13460.0,13470.0,15830.0
37,,13480.0,13480.0,14700.0
43,,13580.0,13570.0,14990.0
49,,13200.0,13210.0,15680.0
55,,13190.0,13190.0,15820.0
61,,13250.0,13250.0,15940.0
67,,13710.0,13710.0,16490.0
