,Price,Transformation,k
0,116890,Baseline,11
1,128840,Baseline,21
2,136830,Baseline,31
3,142330,Baseline,41
4,146840,Baseline,51
5,154330,Baseline,61
6,157300,Baseline,71
7,159260,Baseline,81
8,161760,Baseline,91
9,162730,Baseline,101
10,23480,SMOTE 50-50,11
11,18540,SMOTE 50-50,21
12,15840,SMOTE 50-50,31
13,15800,SMOTE 50-50,41
14,15710,SMOTE 50-50,51
15,16040,SMOTE 50-50,61
16,15230,SMOTE 50-50,71
17,15340,SMOTE 50-50,81
18,15420,SMOTE 50-50,91
19,15530,SMOTE 50-50,101
20,23480,PCA,11
21,18540,PCA,21
22,15830,PCA,31
23,15790,PCA,41
24,15710,PCA,51
25,16040,PCA,61
26,15230,PCA,71
27,15350,PCA,81
28,15430,PCA,91
29,15530,PCA,101
30,23330,Normalization,11
31,19290,Normalization,21
32,17530,Normalization,31
33,18400,Normalization,41
34,16600,Normalization,51
35,16600,Normalization,61
36,18070,Normalization,71
37,16870,Normalization,81
38,17150,Normalization,91
39,16850,Normalization,101
40,20340,Normalization with PCA,11
41,15150,Normalization with PCA,21
42,14050,Normalization with PCA,31
43,13220,Normalization with PCA,41
44,13410,Normalization with PCA,51
45,13750,Normalization with PCA,61
46,14010,Normalization with PCA,71
47,13710,Normalization with PCA,81
48,13800,Normalization with PCA,91
49,14060,Normalization with PCA,101
