,Technique,Classifier,Price
0,Zero replace,BernoulliNB,28440
1,Zero replace,DecisionTreeClassifier,56250
2,Zero replace,KNeighborsClassifier,105900
3,Zero replace,RandomForestClassifier,56200
4,Mean,BernoulliNB,47630
5,Mean,DecisionTreeClassifier,54720
6,Mean,KNeighborsClassifier,102930
7,Mean,RandomForestClassifier,50140
8,Median,BernoulliNB,40280
9,Median,DecisionTreeClassifier,53220
10,Median,KNeighborsClassifier,103900
11,Median,RandomForestClassifier,52670
12,Most Frequent,BernoulliNB,37240
13,Most Frequent,DecisionTreeClassifier,54290
14,Most Frequent,KNeighborsClassifier,105900
15,Most Frequent,RandomForestClassifier,55140
