Nmr Estimators,Test,Train
10,0.9391225428649232,0.9535928143712574
10,,0.9535928143712574
20,0.9439250092093715,0.9610778443113771
20,,0.9610778443113771
30,0.9414374594187289,0.961377245508982
30,,0.961377245508982
40,0.9428597579237977,0.9599800399201597
40,,0.9599800399201597
50,0.9391671737673601,0.9603792415169661
50,,0.9603792415169661
60,0.9405448413699921,0.9574850299401197
60,,0.9574850299401197
70,0.9381852939137495,0.9608782435129741
70,,0.9608782435129741
100,0.9394736997115076,0.9610778443113771
100,,0.9610778443113771
200,0.9402770559553709,0.9607784431137725
200,,0.9607784431137725
300,0.9399200087358761,0.9597804391217565
300,,0.9597804391217565
400,0.9381406630113125,0.9607784431137725
400,,0.9607784431137725
500,0.942458079801866,0.9591816367265469
500,,0.9591816367265469
600,0.9427258652164873,0.9617764471057886
600,,0.9617764471057886
700,0.9401431632480604,0.9614770459081837
700,,0.9614770459081837
800,0.9400539014431867,0.9614770459081837
800,,0.9614770459081837
900,0.9403663177602445,0.9594810379241517
900,,0.9594810379241517
1000,0.9403216868578078,0.9604790419161676
1000,,0.9604790419161676
