accuracy,roc_auc,min_samples_split,transformation
0.7803457398284985,0.8018367346938774,2,baseline estimators 500
0.7661740558292282,0.8064285714285713,4,baseline estimators 500
0.7697454844006568,0.808843537414966,6,baseline estimators 500
0.7696223316912972,0.8024659863945578,8,baseline estimators 500
0.7697546068235723,0.7997278911564626,10,baseline estimators 500
0.7696223316912972,0.7959353741496599,12,baseline estimators 500
0.7660509031198687,0.7990816326530612,14,baseline estimators 500
0.7733260353950009,0.8030272108843537,16,baseline estimators 500
0.7558383506659367,0.805017006802721,18,baseline estimators 500
0.773458310527276,0.7982142857142857,20,baseline estimators 500
0.7557151979565774,0.7943367346938774,22,baseline estimators 500
0.7555829228243022,0.7967006802721089,24,baseline estimators 500
0.8419047619047619,0.927670634920635,2,balancing estimators 500
0.839642857142857,0.9243157596371882,4,balancing estimators 500
0.8252380952380953,0.9167862811791384,6,balancing estimators 500
0.8277380952380952,0.917466553287982,8,balancing estimators 500
0.8229761904761904,0.9076695011337869,10,balancing estimators 500
0.8061904761904763,0.9083032879818594,12,balancing estimators 500
0.8157142857142856,0.9029484126984126,14,balancing estimators 500
0.8014285714285714,0.9000702947845806,16,balancing estimators 500
0.8038095238095238,0.8951456916099774,18,balancing estimators 500
0.7871428571428571,0.8907210884353741,20,balancing estimators 500
0.7799999999999999,0.8865521541950114,22,balancing estimators 500
0.7895238095238095,0.880174036281179,24,balancing estimators 500
